basisOfRecord,catalogNumber,collectionCode,country,eventDate,extraction_method,image,institutionCode,locality,ocr_confidence,ocr_engine,recordedBy,scientificName,specimen_id,stateProvince
PreservedSpecimen,,REGINA,Canada,2801,simple,0413b3af3243b2539e52b0211747a5c9091d0252e2c30e57fcc2d14c8428d3a0.jpg,AAFC,,1.0,vision,Arnot . . ..,Dupiicate confirmed,0413b3af3243b2539e52b0211747a5c9091d0252e2c30e57fcc2d14c8428d3a0,Saskatchewan
PreservedSpecimen,,REGINA,Canada,2190,simple,0420c8d1227442652e10d882cf3ca79c89a78822a02161aebf541f70e9f7f8af.jpg,AAFC,Edge of cultivated field,0.918,vision,S. Paquette . . .,Bromus japonicus,0420c8d1227442652e10d882cf3ca79c89a78822a02161aebf541f70e9f7f8af,Saskatchewan
PreservedSpecimen,0,REGINA,Canada,1544,simple,04292bb011f67674fa688f88e5ed8a5b3e9754c232e21ebad9b29601de90d3b3.jpg,AAFC,,0.937,vision,,Sttoe comata,04292bb011f67674fa688f88e5ed8a5b3e9754c232e21ebad9b29601de90d3b3,Saskatchewan
PreservedSpecimen,,,,,simple,0435c973797f4e4051da4b67ba891341829ccced81e7b42976644a207af52112.jpg,,,1.0,vision,,,0435c973797f4e4051da4b67ba891341829ccced81e7b42976644a207af52112,
PreservedSpecimen,289725,REGINA,Canada,2897,simple,0476bf905576d810d2ba1444a002f323bc8ba3d03cb9f873e8d0d883a746eaf3.jpg,AAFC,500-1000,0.982,vision,,Herbar ium,0476bf905576d810d2ba1444a002f323bc8ba3d03cb9f873e8d0d883a746eaf3,Saskatchewan
PreservedSpecimen,,,,,simple,048d5a7f875ef9ada25c52c5a4269e2571066c872fe6e9d41091022f6ca529ba.jpg,,,1.0,vision,,,048d5a7f875ef9ada25c52c5a4269e2571066c872fe6e9d41091022f6ca529ba,
PreservedSpecimen,,REGINA,Canada,1985,simple,04997c2cfb7efaed8d1d5c42c3f863386e38bae9df33d6f3b4aa4a1c2436bced.jpg,AAFC,,1.0,vision,,Checked by,04997c2cfb7efaed8d1d5c42c3f863386e38bae9df33d6f3b4aa4a1c2436bced,Saskatchewan
PreservedSpecimen,,,Canada,,simple,04f177c1849e50ea61a7c5ef432733a2d1882c715960bcd155d2829669383126.jpg,,,0.879,vision,,Conion kam,04f177c1849e50ea61a7c5ef432733a2d1882c715960bcd155d2829669383126,Saskatchewan
PreservedSpecimen,,,,,simple,050243315170c53414f5aefccb391e0b0d24f84a1be58cfd86b78e652074fae0.jpg,,,1.0,vision,,,050243315170c53414f5aefccb391e0b0d24f84a1be58cfd86b78e652074fae0,
PreservedSpecimen,,,,,simple,0504a91bb54e0397f9a131f257a97abeb0f570b45781a4ecab4927158de799aa.jpg,,,1.0,vision,,,0504a91bb54e0397f9a131f257a97abeb0f570b45781a4ecab4927158de799aa,
PreservedSpecimen,919563,REGINA,Canada,9195,simple,051e1747cc711f9557ee039d9ca5d58881dbecec1c17b122441c2179c9689159.jpg,AAFC,"Sand dunes, Rumecetum venosi, 600 m",1.0,vision,J. Looman,Sporobolus cryptandrus,051e1747cc711f9557ee039d9ca5d58881dbecec1c17b122441c2179c9689159,Saskatchewan
PreservedSpecimen,,,Canada,,simple,051f5665c2626c6a2f286a2b98daa1a7debf7cbb9b399232f3f404d060edc4b0.jpg,,,0.956,vision,,Identified by,051f5665c2626c6a2f286a2b98daa1a7debf7cbb9b399232f3f404d060edc4b0,Saskatchewan
PreservedSpecimen,902,REGINA,Canada,1989,simple,05305a8b79ebeb6bac2984bd482280145a6306ed0c39b58f1227e7fd52e9d540.jpg,AAFC,,0.93,vision,,Rudbeckia hirta,05305a8b79ebeb6bac2984bd482280145a6306ed0c39b58f1227e7fd52e9d540,Saskatchewan
PreservedSpecimen,,REGINA,Canada,1971,simple,055da49cc2e0c06e10159c5df208aab57ea4675bd1b1e20626e07ef99e8c26ed.jpg,AAFC,,1.0,vision,,Gutierrezia sarothrae,055da49cc2e0c06e10159c5df208aab57ea4675bd1b1e20626e07ef99e8c26ed,Saskatchewan
PreservedSpecimen,2,,Canada,0064,simple,0573f11336ddaddcd52722a4065433f2dc594ce62997ffe0c95a7fb02cfec146.jpg,,,0.948,vision,,Stackaaaparoe derolopnont,0573f11336ddaddcd52722a4065433f2dc594ce62997ffe0c95a7fb02cfec146,Saskatchewan
PreservedSpecimen,,,,,simple,057f26d2ff2365c1a09c8a1b87f06a12b26c51d49fcb26f4f46951dcfffc617e.jpg,,,1.0,vision,,,057f26d2ff2365c1a09c8a1b87f06a12b26c51d49fcb26f4f46951dcfffc617e,
PreservedSpecimen,,,Canada,,simple,0582896d5e7dbf9acca75a1c3c365fa7fec57491f58380eeeda8b545c7759f77.jpg,,,0.967,vision,,Artenisia bentewild,0582896d5e7dbf9acca75a1c3c365fa7fec57491f58380eeeda8b545c7759f77,Saskatchewan
PreservedSpecimen,,,,,simple,059429d2c0e9718a209f60042bcfaac9beb67618de0a22a68dd103909f944e3a.jpg,,,1.0,vision,,,059429d2c0e9718a209f60042bcfaac9beb67618de0a22a68dd103909f944e3a,
PreservedSpecimen,,REGINA,Canada,1319,simple,05abca5b81faabd91b5d17a79c1e23cc22baa5454a570ec3f2fc00bf7d91940b.jpg,AAFC,,0.889,vision,,Cirsium undulatun,05abca5b81faabd91b5d17a79c1e23cc22baa5454a570ec3f2fc00bf7d91940b,Saskatchewan
PreservedSpecimen,,,,,simple,05c4ab79351d166cc9deabd944b6303c2f8f253eac79e2ac23964f66aef27526.jpg,,,1.0,vision,,,05c4ab79351d166cc9deabd944b6303c2f8f253eac79e2ac23964f66aef27526,
PreservedSpecimen,,REGINA,Canada,1955,simple,05d0daf064697f84488c8919ef7699db138781eb43f03ff53a32c9ed9e0aaa28.jpg,AAFC,ASSOCIATION,0.979,vision,,Senecio integerrimus,05d0daf064697f84488c8919ef7699db138781eb43f03ff53a32c9ed9e0aaa28,Saskatchewan
PreservedSpecimen,,REGINA,Canada,1971,simple,05f7d74d991d647fda76171fa8febfa64ce079b2b99946e2864fb5e2989345de.jpg,AAFC,,0.95,vision,,Chrysopsis villosa,05f7d74d991d647fda76171fa8febfa64ce079b2b99946e2864fb5e2989345de,Saskatchewan
PreservedSpecimen,,,,,simple,05f9e3d58befea92851f4553c6cb0cf4da5f09d033ffbd819e9d6f179a885ab8.jpg,,,1.0,vision,,Xanthium strumarium,05f9e3d58befea92851f4553c6cb0cf4da5f09d033ffbd819e9d6f179a885ab8,
PreservedSpecimen,1575,REGINA,Canada,1575,simple,06557e1a8cc61593f4d9be52622240cb34233f3fc9556159a29eea46600cc601.jpg,AAFC,,0.963,vision,,Bromua tectorun,06557e1a8cc61593f4d9be52622240cb34233f3fc9556159a29eea46600cc601,Saskatchewan
PreservedSpecimen,,REGINA,Canada,1993,simple,06630e58638b24c30c77f41651a189a959a27aad4b0354d39ab35e55e056d72b.jpg,AAFC,,0.96,vision,,Ascochyta sp,06630e58638b24c30c77f41651a189a959a27aad4b0354d39ab35e55e056d72b,Saskatchewan
PreservedSpecimen,,REGINA,Canada,"June 13, 1975",simple,067535dbd02bf3e5b9ac8b0305ea49d0c2199730a0a1ffc19745420223b6c68b.jpg,AAFC,,0.943,vision,,,067535dbd02bf3e5b9ac8b0305ea49d0c2199730a0a1ffc19745420223b6c68b,Saskatchewan
PreservedSpecimen,,REGINA,Canada,1969,simple,067958f2f171bec7638cdcbfe683ce76ed49434c8b355c58f8604257a5a616a1.jpg,AAFC,HABITAT-,1.0,vision,,Agropyron albicans,067958f2f171bec7638cdcbfe683ce76ed49434c8b355c58f8604257a5a616a1,Saskatchewan
PreservedSpecimen,2161,REGINA,Canada,8014,simple,068ecd403b5ac38e6934f0801f41c37313da3a20ebc7139b50f351c38628d2f1.jpg,AAFC,,0.978,vision,,Eige of,068ecd403b5ac38e6934f0801f41c37313da3a20ebc7139b50f351c38628d2f1,Saskatchewan
PreservedSpecimen,116,REGINA,Canada,8888,simple,069d5cef81b32069ac713fe6daa80101e7426d5151699cacffc6456f51fa36ab.jpg,AAFC,,0.956,vision,,Japanese brome,069d5cef81b32069ac713fe6daa80101e7426d5151699cacffc6456f51fa36ab,Saskatchewan
PreservedSpecimen,2,REGINA,Canada,1969,simple,06a48cbc6d1924af7016f6254700c7e25c0c6757cdf5fc90f11a9d462dac813d.jpg,AAFC,,1.0,vision,,Taraxacum officinale,06a48cbc6d1924af7016f6254700c7e25c0c6757cdf5fc90f11a9d462dac813d,Saskatchewan
PreservedSpecimen,,REGINA,Canada,2809,simple,06b3567049169d7e8ac82e142d4f72478a425d1d0e4e7935e0b70386eb421fdd.jpg,AAFC,,0.965,vision,,Habitat edge,06b3567049169d7e8ac82e142d4f72478a425d1d0e4e7935e0b70386eb421fdd,Saskatchewan
PreservedSpecimen,,,,,simple,06d4aee90ea7ce810835b4cf80ed1c3687138711e14cd0308bb696a9c55f4d55.jpg,,,1.0,vision,,,06d4aee90ea7ce810835b4cf80ed1c3687138711e14cd0308bb696a9c55f4d55,
PreservedSpecimen,19270,REGINA,Canada,1927,simple,07109bd3438695787deb338c0f1758c9d98fe41c6d361fbbb957a8aa55f497ab.jpg,AAFC,,0.889,vision,,Pestuen seubnella,07109bd3438695787deb338c0f1758c9d98fe41c6d361fbbb957a8aa55f497ab,Saskatchewan
PreservedSpecimen,2709,REGINA,Canada,2709,simple,0717e2efa718482f72c3b9a4b254cfb5e70a3b21e8c2fbfd49f3189fce79545c.jpg,AAFC,,0.945,vision,,Calibite colorchecker,0717e2efa718482f72c3b9a4b254cfb5e70a3b21e8c2fbfd49f3189fce79545c,Saskatchewan
PreservedSpecimen,,REGINA,Canada,0116,simple,071e10be477f8d7a6572308d4feb56f3add9f9bca767fb249e5a19805431ccc0.jpg,AAFC,,1.0,vision,,Bromus japonicus,071e10be477f8d7a6572308d4feb56f3add9f9bca767fb249e5a19805431ccc0,Saskatchewan
